Sampling_Date,Site_Code,Tree_ID,Genus,Species,Location_deg_min_sec_North_nosym,Location_deg_min_sec_West,dbh_cm,No_stem_cankers,Total_tree_height_m,Crown_density_percent,Crown_dieback_percent,Vigor_class,Uncompacted_live_crown_ratio,diameter_squared_x_height_cubic_cm,SLA_cm2_per_g,Area_per_needle_cm2,AVG_Fv_Fm,Branch_1_Amax_normalized_umol_per_m2_sec,Branch_1_gsw_normalized_umol_per_m2_sec,Average_Condensed_TANNINS_percent_DW,Average_TN_percent_DW,Average_CN,Average_SUGAR_percent_DW,Average_STARCH_percent_DW
6/29/2022,HB1,W-26,Picea ,glauca,46 50 46.70,68 37 31.59,19.6,0,9.8,60,10,1,1.00,372972,38.1,0.121,0.91,88.4,1.21,2.9,0.99,48,23.0,8.1
6/29/2022,HB1,W-27,Picea ,glauca,46 50 46.83,68 37 31.54,1.3,0,8.8,75,5,1,1.00,1417,37.0,0.154,0.87,43.8,0.23,2.4,1.03,46,22.7,6.9
6/29/2022,HB1,R-28,Picea ,rubens,46 50 44.92,68 37 36.11,1.3,0,2.1,not sampled,not sampled,1,1.00,339,36.8,0.044,0.85,27.5,0.79,2.9,0.64,76,22.4,6.4
6/29/2022,HB1,R-29,Picea ,rubens,46 50 44.78,68 37 36.08,1.3,0,1.9,not sampled,not sampled,1,1.00,306,42.9,0.069,0.91,16.1,0.16,4.0,0.97,50,21.1,8.3
6/29/2022,HB1,R-30,Picea ,rubens,46 50 44.71,68 37 36.06,1.3,0,1.8,not sampled,not sampled,1,1.00,290,not sampled,0.139,0.85,not sampled,not sampled,2.2,not sampled,not sampled,24.8,7.6
6/29/2022,HB1,R-31,Picea ,rubens,46 50 44.73,68 37 35.92,1.3,0,1.9,not sampled,not sampled,1,1.00,306,50.0,0.103,0.82,3.7,0.06,1.1,not sampled,not sampled,not sampled,3.9
6/29/2022,HB1,R-32,Picea ,rubens,46 50 44.73,68 37 36.45,not sampled,0,6.2,45,10,1,1.00,1001,41.2,0.103,0.87,30.0,0.36,2.9,0.76,63,28.3,9.2
6/29/2022,HB1,R-33,Picea ,rubens,46 50 44.61,68 37 36.55,1.3,0,3.6,40,15,1,1.00,581,40.0,0.140,0.76,21.5,0.06,4.1,0.79,61,25.1,6.7
6/29/2022,HB1,R-34,Picea ,rubens,46 50 44.34,68 37 36.58,not sampled,0,3.4,30,40,2,1.00,554,46.6,0.173,0.77,not sampled,not sampled,3.3,0.93,51,18.8,4.9
6/29/2022,HB1,W-35,Picea ,glauca,46 50 44.72,68 37 36.55,not sampled,0,not sampled,65,15,1,1.00,109,47.1,0.131,0.82,15.0,0.05,2.8,0.85,56,25.2,4.3
6/29/2022,HB1,W-36,Picea ,glauca,46 50 44.80,68 37 36.60,7.9,0,0.3,45,20,1,1.00,1965,34.8,0.157,0.86,39.2,0.26,2.1,0.75,63,25.4,8.0
7/1/2022,HB3,W-9,Picea ,glauca,46 54 12.71,68 40 6.26,18.8,0,7.1,45,30,2,0.14,251959,not sampled,not sampled,0.96,not sampled,not sampled,not sampled,1.32,36,22.1,3.8
7/1/2022,HB3,W-7,Picea ,glauca,49 54 12.54,68 40 6.26,19.8,0,9.9,65,10,1,1.00,389838,49.5,0.188,0.96,15.7,0.12,4.1,1.12,42,19.2,3.3
7/1/2022,HB3,W-8,Picea ,glauca,46 54 12.81,68 40 6.34,14.7,0,9.7,55,5,1,1.00,211067,55.6,0.158,0.95,11.3,0.09,4.5,0.97,49,20.8,4.1
7/1/2022,HB3,W-10,Picea ,glauca,46 54 12.60,68 40 6.64,16.8,0,9.5,75,5,1,1.00,267286,42.7,0.242,0.96,11.3,0.08,4.8,1.02,46,23.4,4.3
7/1/2022,HB3,W-11,Picea ,glauca,46 54 12.60,68 40 6.34,20.1,0,11.6,80,0,1,1.00,468515,40.1,0.252,0.94,5.4,0.03,4.4,1.18,40,25.7,7.8
7/1/2022,HB3,W-12,Picea ,glauca,46 54 12.73,68 40 6.41,11.9,0,7.2,60,10,2,1.00,103311,54.4,0.181,0.96,5.2,0.02,3.8,1.28,39,21.0,4.6
7/1/2022,HB3,W-13,Picea ,glauca,46 54 12.74,68 40 6.30,15.5,0,8.2,40,20,1,0.79,196861,45.8,0.125,0.92,9.9,0.09,2.8,0.92,51,22.3,5.3
7/1/2022,HB3,R-18,Picea ,rubens,46 54 4.19,68 40 5.85,5.8,0,3.3,45,40,2,1.00,11125,79.7,0.125,0.96,4.2,0.02,4.9,1.13,44,15.5,5.2
7/1/2022,HB3,W-17,Picea ,glauca,46 54 9.11,68 40 5.78,14.2,0,9.3,60,25,2,0.62,187369,48.9,0.110,not sampled,9.8,0.04,not sampled,1.15,41,16.9,2.4
7/1/2022,HB3,R-19,Picea ,rubens,46 54 8.82,68 40 6.53,8.1,0,3.6,43,0,1,1.00,23911,54.8,0.172,0.96,6.4,0.06,not sampled,1.11,44,19.0,8.6
7/1/2022,HB3,W-20,Picea ,glauca,46 54 8.87,68 40 6.74,20.8,0,10.8,90,0,1,1.00,469688,42.9,0.188,0.95,10.8,0.06,4.2,1.09,43,23.1,5.8
7/1/2022,HB3,W-21,Picea ,glauca,46 54 9.33,68 40 6.83,18.3,0,11.0,25,35,2,0.44,368315,71.2,0.150,0.92,4.8,0.03,not sampled,1.12,41,19.1,6.7
7/1/2022,HB3,W-22,Picea ,glauca,46 54 9.61,68 40 7.12,19.6,0,6.8,90,5,1,1.00,259756,26.5,0.154,0.95,26.2,0.29,3.7,0.98,49,21.4,3.6
7/1/2022,HB3,R-24,Picea ,rubens,46 54 10.49,68 40 7.52,9.1,0,5.7,80,5,1,1.00,47857,64.4,0.154,0.93,11.3,0.27,3.9,1.12,42,14.1,2.8
7/1/2022,HB3,W-25,Picea ,glauca,46 54 10.22,68 40 8.19,16.0,0,11.5,35,10,1,0.87,294548,45.7,0.137,0.95,14.2,0.13,7.9,1.06,44,21.9,2.5
7/1/2022,HB3,R-26,Picea ,rubens,46 54 10.53,not sampled,10.2,0,4.9,85,0,1,1.00,50700,53.4,0.170,0.96,15.4,0.26,4.6,1.01,47,16.6,2.3
7/1/2022,HB3,W-27,Picea ,glauca,46 54 10.43,68 40 7.74,23.4,0,8.8,80,25,1,1.00,481677,43.9,0.108,0.95,22.8,0.22,5.1,0.93,50,21.7,3.8
7/1/2022,HB3,W-32,Picea ,glauca,46 54 12.44,68 40 7.34,9.9,0,9.1,65,0,1,0.83,89159,49.1,0.159,0.92,4.1,0.05,4.7,0.95,49,22.5,2.7
7/1/2022,HB3,W-35,Picea ,glauca,46 54 10.38,68 40 5.77,11.9,0,11.5,25,25,2,0.33,164220,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled
7/1/2022,HB3,W-36,Picea ,glauca,46 54 8.24,68 40 5.32,15.0,0,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,45.1,0.112,0.95,1.7,not sampled,not sampled,1.08,44,23.2,2.7
7/1/2022,HB3,R-37,Picea ,rubens,46 54 8.02,68 40 5.45,5.3,0,3.7,50,0,1,1.00,10584,67.2,0.169,0.94,7.6,0.05,not sampled,1.16,42,12.6,9.0
7/1/2022,HB3,W-38,Picea ,glauca,46 54 7.40,68 40 5.74,3.0,0,2.3,50,0,1,1.00,2137,44.4,0.124,0.95,17.7,0.16,not sampled,1.20,39,20.0,2.6
7/1/2022,HB3,R-39,Picea ,rubens,46 54 7.88,68 40 5.44,4.6,0,2.8,60,5,1,1.00,5853,71.1,0.135,0.95,10.3,0.07,3.6,1.29,36,20.3,3.9
7/1/2022,HB3,W-40,Picea ,glauca,46 54 7.40,68 40 5.74,20.8,0,7.6,80,0,1,1.00,328551,47.6,0.175,0.91,6.1,0.09,4.2,1.20,39,21.9,2.6
7/1/2022,HB3,W-41,Picea ,glauca,46 54 7.71,68 40 5.44,19.8,0,8.2,70,0,1,1.00,321630,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled
7/1/2022,HB3,R-42,Picea ,rubens,46 54 7.44,68 40 6.27,3.8,0,4.9,50,0,1,1.00,7181,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled
7/1/2022,HB3,R-43,Picea ,rubens,46 54 7.24,68 40 6.27,14.5,0,6.2,45,10,1,1.00,130407,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled
7/1/2022,HB3,R-44,Picea ,rubens,46 54 7.24,68 40 6.39,12.4,0,8.4,30,20,2,0.94,129556,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled
7/1/2022,HB3,W-45,Picea ,glauca,46 54 7.09,68 40 6.31,19.3,0,9.5,55,10,1,0.84,354491,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled
7/1/2022,HB3,R-46,Picea ,rubens,46 54 7.76,68 40 6.38,15.7,0,7.4,40,15,1,0.86,182738,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled
7/5/2022,RR1,W-1,Picea ,glauca,46 55 35.05,68 42 37.40,14.2,0,9.4,90,0,1,1.00,190210,33.3,0.147,0.89,9.5,0.05,2.9,0.81,55,22.9,3.6
7/5/2022,RR1,W-2,Picea ,glauca,46 55 35.04,68 42 37.82,11.9,0,6.8,80,5,1,1.00,96563,37.5,0.150,0.83,11.7,0.05,2.8,0.84,54,22.3,3.6
7/5/2022,RR1,W-3,Picea ,glauca,46 55 35.04,68 42 37.75,11.2,0,6.0,70,15,1,1.00,74883,35.1,0.126,0.93,10.9,0.07,3.4,0.89,51,24.2,3.8
7/5/2022,RR1,W-4,Picea ,glauca,46 55 35.24,68 42 37.77,13.0,0,8.8,50,25,1,1.00,148064,35.7,0.171,0.96,not sampled,0.04,3.8,0.78,62,28.8,5.1
7/5/2022,RR1,W-5,Picea ,glauca,46 55 35.11,68 42 37.56,9.4,0,7.1,45,5,1,0.96,62504,37.8,0.177,0.89,14.5,0.07,3.2,0.99,48,26.1,3.3
7/5/2022,RR1,W-6,Picea ,glauca,46 55 35.17,68 42 37.43,11.7,0,8.0,40,10,1,1.11,109100,35.1,0.170,0.97,12.7,0.06,3.3,0.86,55,26.6,3.4
7/5/2022,RR1,W-7,Picea ,glauca,46 55 35.42,68 42 37.54,13.0,0,6.0,55,10,1,1.00,100352,33.3,0.109,0.97,9.8,0.03,4.0,0.83,58,22.9,2.8
7/5/2022,RR1,W-8,Picea ,glauca,46 55 35.24,68 42 37.32,8.1,0,5.6,60,5,1,1.00,37108,33.1,0.170,0.98,11.7,0.08,4.0,0.78,61,26.4,5.2
7/5/2022,RR1,W-9,Picea ,glauca,46 55 35.06,68 42 37.20,7.9,0,7.0,45,0,2,0.69,43472,32.6,0.191,0.90,6.6,0.03,5.2,0.84,57,31.9,3.8
7/5/2022,RR1,R-10,Picea ,rubens,46 55 35.26,68 42 37.20,5.8,0,4.7,60,10,2,0.72,16021,43.1,0.116,0.96,5.2,0.07,4.6,0.88,55,22.1,5.2
7/5/2022,RR1,W-11,Picea ,glauca,46 55 35.47,68 42 37.33,8.1,0,5.9,65,20,1,1.00,39302,37.5,0.137,0.93,11.5,0.12,3.6,0.80,60,28.8,6.8
7/5/2022,RR1,W-12,Picea ,glauca,46 55 35.48,68 42 37.39,3.8,0,3.1,40,5,2,1.00,4451,36.4,0.118,0.84,13.7,0.08,4.1,0.84,57,24.8,5.4
7/5/2022,RR1,W-13,Picea ,glauca,46 55 35.36,68 42 37.30,14.7,0,6.8,40,15,2,1.00,148114,37.5,0.131,0.96,5.7,0.03,4.5,0.84,57,29.0,2.7
7/5/2022,RR1,W-14,Picea ,glauca,46 55 35.51,68 42 37.26,5.6,0,4.2,65,5,1,1.00,13014,36.8,0.085,0.97,5.4,0.02,5.2,0.74,65,29.4,8.2
7/5/2022,RR1,W-15,Picea ,glauca,46 55 35.64,68 42 37.33,5.8,0,4.8,55,5,2,1.00,16396,36.9,0.134,0.94,2.2,0.01,3.5,0.74,65,27.1,6.5
7/5/2022,RR1,W-16,Picea ,glauca,46 55 35.68,68 42 37.40,12.2,0,7.8,60,5,2,1.00,115339,39.5,0.120,0.93,16.1,0.14,3.4,1.09,44,25.6,3.6
7/5/2022,RR1,W-17,Picea ,glauca,46 55 35.51,68 42 37.18,5.8,0,4.8,45,5,2,0.79,16465,35.9,0.129,0.87,8.1,0.12,3.3,0.70,69,27.3,6.6
7/5/2022,RR1,W-18,Picea ,glauca,46 55 35.47,68 42 37.34,2.5,0,2.5,75,0,1,1.00,1598,37.9,0.153,0.98,9.4,0.08,5.4,0.71,66,33.3,7.2
7/5/2022,RR1,W-19,Picea ,glauca,43 55 35.43,68 42 37.40,13.0,0,8.4,65,10,1,1.00,141477,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,24.3,5.7
7/5/2022,RR1,W-20,Picea ,glauca,46 55 35.37,68 42 37.11,6.1,0,5.4,65,5,1,1.00,20127,37.1,0.134,0.78,11.7,0.13,5.3,0.79,61,23.8,7.6
7/5/2022,RR1,W-21,Picea ,glauca,46 55 35.54,68 42 36.96,8.4,0,6.1,35,15,2,0.72,42664,33.8,0.113,0.72,11.1,0.08,3.4,not sampled,not sampled,25.8,5.9
7/5/2022,RR1,W-22,Picea ,glauca,46 55 35.41,68 42 36.87,9.7,0,6.8,30,10,2,0.74,63522,8.6,0.032,0.89,29.3,0.21,5.1,0.69,70,31.6,6.7
7/5/2022,RR1,W-23,Picea ,glauca,46 55 35.52,68 42 36.91,5.8,0,4.5,20,50,2,0.62,15440,20.8,0.173,0.89,15.8,0.15,4.1,0.77,60,30.2,10.1
7/5/2022,RR1,W-24,Picea ,glauca,46 55 35.59,68 42 36.83,3.8,0,4.2,75,0,1,1.00,6166,not sampled,0.118,0.83,30.1,0.35,3.6,not sampled,not sampled,25.2,5.9
7/5/2022,RR1,W-25,Picea ,glauca,46 55 35.59,68 42 36.68,7.6,0,4.7,35,5,1,0.63,27373,16.0,0.083,0.82,not sampled,not sampled,3.6,0.74,66,26.7,7.7
7/5/2022,RR1,W-26,Picea ,glauca,46 55 35.61,68 42 36.94,3.3,0,2.5,75,0,1,1.00,2726,36.6,0.118,0.97,12.5,0.11,4.6,0.79,60,31.0,9.9
7/5/2022,RR1,W-27,Picea ,glauca,46 55 35.61,68 42 36.66,5.1,0,4.3,45,5,1,1.00,11117,39.1,0.099,0.81,8.0,0.07,4.1,0.72,68,34.5,8.6
7/5/2022,RR1,W-28,Picea ,glauca,46 55 35.62,68 42 36.46,14.2,0,8.7,50,10,2,0.83,175421,33.6,0.204,0.90,6.8,0.03,4.8,1.21,40,31.6,4.8
7/5/2022,RR1,W-29,Picea ,glauca,46 55 35.62,68 42 36.26,8.1,0,6.1,40,10,2,0.35,40580,32.5,0.212,0.90,4.8,0.04,4.0,0.84,57,28.4,3.6
7/5/2022,RR1,W-30,Picea ,glauca,46 55 35.58,68 42 36.24,7.1,0,6.7,15,15,3,0.48,33889,35.3,0.159,0.84,4.0,0.02,5.8,0.82,56,29.6,4.3
7/7/2022,RR1,W-31,Picea ,glauca,46 55 35.58,68 42 36.33,14.0,0,9.4,35,15,2,0.63,183520,32.8,0.165,0.97,7.1,0.04,5.2,0.83,58,31.8,6.2
7/7/2022,RR1,W-32,Picea ,glauca,46 55 35.80,68 42 36.24,2.8,0,3.0,45,0,1,1.00,2342,37.3,0.118,0.84,7.5,0.04,7.4,0.80,61,24.2,6.0
7/7/2022,RR1,W-33,Picea ,glauca,46 55 35.70,68 42 36.19,7.9,0,4.8,35,10,2,0.48,29916,38.0,0.105,0.84,not sampled,not sampled,5.4,0.84,57,26.9,6.4
7/7/2022,RR1,W-34,Picea ,glauca,46 55 35.67,68 42 36.09,8.1,0,5.5,40,20,2,0.54,36023,46.7,0.086,0.94,11.7,0.11,5.8,not sampled,not sampled,23.3,1.4
7/7/2022,RR1,W-35,Picea ,glauca,46 55 35.75,68 42 36.04,5.3,0,4.9,35,15,2,0.69,13802,45.3,0.098,0.95,15.2,0.20,4.5,not sampled,not sampled,22.5,3.4
7/7/2022,RR1,W-36,Picea ,glauca,46 55 35.76,68 42 36.01,7.6,0,5.6,40,10,2,1.00,32553,39.0,0.147,0.94,13.1,0.14,7.3,0.99,48,23.3,3.3
7/7/2022,RR1,W-37,Picea ,glauca,46 55 35.55,68 42 35.96,12.2,0,7.3,45,5,1,1.00,108438,32.8,0.116,0.96,16.2,0.21,2.8,not sampled,not sampled,21.9,4.4
7/7/2022,RR1,W-38,Picea ,glauca,46 55 35.62,68 42 35.69,9.1,0,7.4,40,10,2,0.66,61458,38.6,0.156,0.94,11.5,0.11,4.5,1.05,46,24.2,3.6
7/7/2022,RR1,W-39,Picea ,glauca,46 55 35.62,68 42 35.69,11.2,0,7.1,35,15,2,0.65,88632,32.9,0.179,0.96,16.4,0.17,4.0,0.99,48,21.4,4.8
7/7/2022,RR1,W-40,Picea ,glauca,46 55 35.49,68 42 35.97,11.7,0,8.4,40,15,2,0.76,114848,35.0,0.093,0.95,18.9,0.22,4.8,0.96,50,31.3,2.9
7/7/2022,RR1,W-41,Picea ,glauca,46 55 35.54,68 42 35.86,14.0,0,9.3,not sampled,not sampled,not sampled,not sampled,180561,37.5,0.125,0.96,16.9,0.19,2.6,0.90,51,24.7,4.1
7/7/2022,RR1,W-42,Picea ,glauca,46 55 35.62,68 42 35.63,17.8,0,not sampled,not sampled,not sampled,2,not sampled,not sampled,33.8,0.193,0.96,15.5,0.17,3.7,0.95,48,25.8,2.6
7/7/2022,RR1,W-43,Picea ,glauca,46 55 35.96,68 42 35.75,16.3,0,8.2,65,5,1,0.76,217719,30.0,0.092,0.91,17.2,0.18,5.6,0.87,54,25.0,5.2
7/7/2022,RR1,W-44,Picea ,glauca,46 55 36.05,68 42 35.72,14.0,0,9.4,25,20,2,1.00,183949,37.6,0.132,0.96,13.8,0.43,2.9,1.10,43,21.3,4.6
7/7/2022,RR1,W-45,Picea ,glauca,46 55 35.95,68 42 35.50,14.0,0,7.2,65,5,1,1.00,139911,19.6,0.079,0.96,21.9,0.28,4.7,1.01,48,27.3,2.7
7/7/2022,RR1,W-46,Picea ,glauca,46 55 35.96,68 42 35.17,35.3,0,12.7,30,15,2,1.00,1584177,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled
7/7/2022,RR1,R-47,Picea ,rubens,46 55 36.20,68 42 35.80,12.2,0,7.2,35,15,1,1.00,107024,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled
7/7/2022,RR1,W-48,Picea ,glauca,46 55 35.15,68 42 36.05,1.3,0,1.5,85,0,1,1.00,242,40.9,0.119,0.92,14.6,0.17,6.6,0.90,51,not sampled,5.9
7/7/2022,RR1,W-49,Picea ,glauca,46 55 35.02,68 42 35.96,1.3,0,2.1,70,0,1,1.00,339,38.6,0.129,0.95,12.2,0.13,4.0,0.88,52,not sampled,8.8
7/7/2022,RR1,W-50,Picea ,glauca,46 55 35.02,68 42 36.04,1.3,0,2.3,60,0,1,1.00,371,38.2,0.165,0.94,7.8,0.06,3.6,0.95,49,not sampled,13.3
7/7/2022,RR1,W-51,Picea ,glauca,46 55 34.74,68 42 36.56,7.6,0,4.6,75,0,1,1.00,26851,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled
7/7/2022,RR1,W-52,Picea ,glauca,46 55 34.62,68 42 36.67,8.4,0,5.4,25,20,2,1.00,38153,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled
7/7/2022,RR1,W-53,Picea ,glauca,46 55 34.57,68 42 36.57,8.9,0,6.9,80,0,1,1.00,54502,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled
7/15/2022,CL2,W-1,Picea ,glauca,47 10 04.39,68 20 42.11,4.6,0,3.4,60,0,1,1.00,7152,41.0,0.137,not sampled,not sampled,not sampled,5.4,not sampled,not sampled,24.4,2.6
7/15/2022,CL2,R-2,Picea ,rubens,47 10 04.39,68 20 42.06,3.0,0,2.9,75,0,1,1.00,2652,45.9,0.137,not sampled,not sampled,not sampled,4.8,0.88,56,21.9,2.3
7/15/2022,CL2,W-3,Picea ,glauca,47 10 04.28,68 20 42.00,5.8,0,4.2,60,0,1,1.00,14497,32.9,0.199,not sampled,18.5,0.32,5.6,1.00,48,28.3,4.4
7/15/2022,CL2,R-4,Picea ,rubens,47 10 04.14,68 20 41.75,5.8,0,3.9,85,0,1,1.00,13400,38.6,0.160,not sampled,16.2,0.34,3.1,not sampled,not sampled,20.0,3.5
7/15/2022,CL2,W-5,Picea ,glauca,47 10 03.84,68 20 41.19,7.4,0,4.5,60,0,1,0.66,24194,35.7,0.229,not sampled,18.2,0.26,4.9,0.91,54,27.3,1.7
7/15/2022,CL2,W-6,Picea ,glauca,47 10 03.79,68 20 41.13,5.1,0,3.8,55,5,1,0.87,9719,39.3,0.123,not sampled,16.5,0.35,5.7,0.96,51,28.4,3.1
7/15/2022,CL2,W-7,Picea ,glauca,47 10 03.71,68 20 41.10,3.0,0,2.4,85,0,1,1.00,2245,28.8,0.158,not sampled,17.7,0.48,not sampled,not sampled,not sampled,28.2,4.0
7/15/2022,CL2,R-8,Picea ,rubens,47 10 03.77,68 20 40.99,5.1,0,3.7,65,5,1,1.00,9567,47.1,0.141,not sampled,5.6,0.09,4.4,0.91,54,36.3,3.4
7/15/2022,CL2,W-9,Picea ,glauca,47 10 03.29,68 20 40.37,9.1,0,4.2,65,5,1,0.74,35113,37.7,0.203,not sampled,8.4,0.17,6.9,not sampled,not sampled,30.2,2.2
7/15/2022,CL2,W-10,Picea ,glauca,47 10 03.18,68 20 40.37,7.1,0,4.5,70,0,1,1.00,22765,42.7,0.182,not sampled,8.9,0.24,4.9,1.10,44,26.7,5.0
